date,target,max_temp_exog,mean_temp_exog,min_temp_exog,precipitation_exog,pressure_exog
31-01-2009,14307,6.74516129,3.519354839,0.306451613,2.335483871,101105.8065
28-02-2009,11567,7.842857143,4.77037037,2.117857143,2.485714286,101448.0769
31-03-2009,13430,12.93870968,8.306451613,3.667741935,0.967741935,101522.2581
30-04-2009,13099,16.09,11.58965517,7.196666667,0.933333333,101324
31-05-2009,13963,19.10645161,14.19666667,9.34516129,0.961290323,101816.7742
30-06-2009,14020,22.41666667,17.3,12.17,1.133333333,101727.3333
31-07-2009,13966,22.68709677,18.40322581,13.73870968,2.303225806,101226.7742
31-08-2009,13588,23.92258065,19.02258065,14.13870968,1.277419355,101580.9677
30-09-2009,13686,20.36333333,16.26,11.96666667,1.2,102193.6667
31-10-2009,14464,16.30322581,12.8516129,9.329032258,1.270967742,101642.5806
30-11-2009,14831,12.27666667,9.983333333,7.356666667,4.933333333,100140.3333
31-12-2009,12633,6.85483871,4.161290323,1.248387097,2.729032258,100616.7742
31-01-2010,12852,4.558064516,2.090322581,-0.306451613,1.670967742,101529.6774
28-02-2010,11375,7.078571429,4.357142857,1.714285714,3.585714286,100306.0714
31-03-2010,12470,11.09354839,7.416129032,3.683870968,1.283870968,101654.1935
30-04-2010,12766,16.08,10.72666667,5.553333333,0.773333333,101953
31-05-2010,13629,17.22903226,12.51612903,7.667741935,0.664516129,101739.0323
30-06-2010,13121,23.87,17.84,12.13333333,0.413333333,101745
31-07-2010,12863,24.83870968,20.03548387,15.07419355,0.580645161,101548.3871
31-08-2010,13425,21.51290323,17.41612903,13.18387097,2.858064516,101429.0323
30-09-2010,13528,19.26333333,15.35666667,11.24333333,1.273333333,101509.3333
31-10-2010,13830,15.12903226,11.79032258,8.329032258,2.412903226,101316.7742
30-11-2010,13348,8.633333333,6.546666667,3.95,1.073333333,100592
31-12-2010,11207,4.067741935,1.187096774,-1.480645161,0.690322581,101476.7742
31-01-2011,12597,7.387096774,5.112903226,2.832258065,2.477419355,101870.3226
28-02-2011,10996,10.04642857,7.489285714,4.778571429,1.528571429,101450.7143
31-03-2011,12513,12.64516129,8.080645161,3.822580645,0.470967742,102253.2258
30-04-2011,12278,19.79333333,14.15333333,8.6,0.08,101955
31-05-2011,12367,19.48387097,14.41612903,9.35483871,0.793548387,101799.6774
30-06-2011,13032,20.68,15.89666667,11.03,2.8,101537.6667
31-07-2011,13192,21.97741935,17.2,12.64193548,1.606451613,101331.9355
31-08-2011,12613,21.54516129,17.60967742,13.37741935,2.219354839,101315.4839
30-09-2011,13748,21.58,16.89,12.40666667,1.166666667,101370
31-10-2011,13518,17.70645161,14.13870968,10.09354839,0.593548387,101721.6129
30-11-2011,12499,13.47333333,10.47333333,7.253333333,0.966666667,101702.3333
31-12-2011,12121,9.948387097,6.858064516,3.787096774,2.032258065,101195.1613
31-01-2012,15281,9.458064516,6.616129032,3.435483871,1.109677419,102117.0968
29-02-2012,13646,8.327586207,4.662068966,1.327586207,0.579310345,102989.6552
31-03-2012,15850,14.64193548,9.706451613,4.693548387,0.522580645,102782.9032
30-04-2012,14273,13.42666667,9.093333333,4.85,3.28,100410.6667
31-05-2012,15908,18.28064516,13.9516129,9.703225806,0.819354839,101655.4839
30-06-2012,14929,19.28333333,15.49333333,11.58333333,3.693333333,101119.6667
